country_id,name,type
c-00001,English Premier League,league
c-00001,EFL Championship,league
c-00001,EFL League One,league
c-00001,EFL League Two,league
c-00001,National League,league
c-00001,FA Cup,cup
c-00001,EFL Cup,cup
c-00001,PL2,league
c-00001,PL2 — Div. 1,league
c-00001,PL2 — Div. 2,league
c-00001,FA Community Shield,cup
c-00002,Scottish Premiership,league
c-00003,DFL-Supercup,cup
c-00003,DFB-Pokal,cup
c-00003,Bundesliga,league
c-00003,2. Bundesliga,league
c-00004,La Liga,league
c-00004,La Liga 2,league
c-00004,Supercopa de España,cup
c-00004,Copa del Rey,cup
c-00005,Ligue 1,league
c-00005,Ligue 2,league
c-00005,Coupe de la Ligue,cup
c-00005,Coupe de France,cup
c-00005,Trophée des Champions,cup
c-00006,Serie A,league
c-00006,Supercoppa,cup
c-00006,Coppa Italia,cup
c-00011,Super League Greece,league
c-00012,Czech First League,league
c-00013,Chinese Super League,league
c-00021,World Cup Qualifiers,international
c-00021,World Cup,international
c-00021,Friendlies,international
c-00021,WCQ Play-offs,international
c-00021,UEFA Nations League,international
c-00022,UEFA Europa Conference League,international
c-00022,UEFA Champions League,international
c-00022,Gold Cup,international
c-00022,UEFA Europa League,international
c-00022,UEFA Super Cup,international
c-00022,FIFA Confederations Cup,international
c-00022,Africa Cup of Nations qualification,international
c-00022,Africa Cup of Nations,international
c-00022,Asian Cup,international
c-00022,UEFA European Championship,international
c-00022,UEFA European Championship Qualifying,international
c-00022,Copa América,international
c-00023,Major League Soccer,league
c-00008,Jupiler Pro League,league
c-00010,Süper Lig,league
c-00007,Eredivisie,league
c-00022,CONMEBOL Sudamericana,international
c-00009,Primeira Liga,league
c-00018,Danish Superliga,league
c-00019,HNL,league
c-00014,Swiss Super League,league
c-00022,CONMEBOL Libertadores,international
c-00015,Copa de la Liga Profesional,cup
c-00015,Liga Argentina,league
c-00016,Saudi Pro League,league
c-00017,Ekstraklasa,league
c-00024,Eliteserien,league
c-00025,Allsvenskan,league
c-00026,Primera División,league
c-00027,Russian Premier League,league
c-00028,Ukrainian Premier League,league
