fbref_id,player_name,position,match_logs_href,season
e32b9fc3,Nabil Abidallah,MF,https://fbref.com/en/players/e32b9fc3/matchlogs/2000-2001/summary/Nabil-Abidallah-Match-Logs,2000-2001
cbf4c181,Clarence Acuña,MF,https://fbref.com/en/players/cbf4c181/matchlogs/2000-2001/summary/Clarence-Acuna-Match-Logs,2000-2001
26b5e727,Tony Adams,DF,https://fbref.com/en/players/26b5e727/matchlogs/2000-2001/summary/Tony-Adams-Match-Logs,2000-2001
6a723914,Ade Akinbiyi,FW,https://fbref.com/en/players/6a723914/matchlogs/2000-2001/summary/Ade-Akinbiyi-Match-Logs,2000-2001
c4e7060b,Rati Aleksidze,FW,https://fbref.com/en/players/c4e7060b/matchlogs/2000-2001/summary/Rati-Aleksidze-Match-Logs,2000-2001
8fce0898,Niclas Alexandersson,MF,https://fbref.com/en/players/8fce0898/matchlogs/2000-2001/summary/Niclas-Alexandersson-Match-Logs,2000-2001
e8b96a8a,Danny Allsopp,FW,https://fbref.com/en/players/e8b96a8a/matchlogs/2000-2001/summary/Danny-Allsopp-Match-Logs,2000-2001
747e3a0d,John Aloisi,FW,https://fbref.com/en/players/747e3a0d/matchlogs/2000-2001/summary/John-Aloisi-Match-Logs,2000-2001
e79a368b,Shola Ameobi,FW,https://fbref.com/en/players/e79a368b/matchlogs/2000-2001/summary/Shola-Ameobi-Match-Logs,2000-2001
09cebe50,Darren Anderton,MF,https://fbref.com/en/players/09cebe50/matchlogs/2000-2001/summary/Darren-Anderton-Match-Logs,2000-2001
83e490ef,Tore André Flo,FW,https://fbref.com/en/players/83e490ef/matchlogs/2000-2001/summary/Tore-Andre-Flo-Match-Logs,2000-2001
7ac25aa9,Julio Arca,"DF,MF",https://fbref.com/en/players/7ac25aa9/matchlogs/2000-2001/summary/Julio-Arca-Match-Logs,2000-2001
36cbc674,Alun Armstrong,FW,https://fbref.com/en/players/36cbc674/matchlogs/2000-2001/summary/Alun-Armstrong-Match-Logs,2000-2001
effa559a,Chris Armstrong,FW,https://fbref.com/en/players/effa559a/matchlogs/2000-2001/summary/Chris-Armstrong-Match-Logs,2000-2001
1bcd6fc7,Peter Atherton,"DF,MF",https://fbref.com/en/players/1bcd6fc7/matchlogs/2000-2001/summary/Peter-Atherton-Match-Logs,2000-2001
dd4e6b97,Celestine Babayaro,"DF,MF",https://fbref.com/en/players/dd4e6b97/matchlogs/2000-2001/summary/Celestine-Babayaro-Match-Logs,2000-2001
b59f0646,Markus Babbel,DF,https://fbref.com/en/players/b59f0646/matchlogs/2000-2001/summary/Markus-Babbel-Match-Logs,2000-2001
