player,position,team,goals_against,shots_on_target_against,saves,wins,draws,losses,clean_sheets,penalties_faced,penalties_allowed,penalties_saved,penalties_missed
Adrián,GK,West Ham,29,96,68,7,6,6,6,1,1,0,0
Asmir Begović,GK,Bournemouth,61,170,109,11,11,16,6,3,2,1,0
Claudio Bravo,GK,Manchester City,1,5,4,2,0,0,2,0,0,0,0
Jack Butland,GK,Stoke City,61,201,142,7,11,17,6,5,5,0,0
Willy Caballero,GK,Chelsea,4,11,7,1,1,1,1,0,0,0,0
Petr Čech,GK,Arsenal,48,135,85,16,6,12,11,6,5,1,0
Thibaut Courtois,GK,Chelsea,34,106,74,20,6,9,15,2,2,0,0
Karl Darlow,GK,Newcastle Utd,15,47,34,1,5,4,2,3,3,0,0
Martin Dúbravka,GK,Newcastle Utd,11,37,25,6,1,5,4,1,0,1,0
Ederson,GK,Manchester City,26,80,54,30,4,2,16,2,0,2,0
Rob Elliot,GK,Newcastle Utd,21,64,43,5,2,9,3,2,1,1,0
Łukasz Fabiański,GK,Swansea City,56,190,133,8,9,21,9,6,3,3,0
Fraser Forster,GK,Southampton,30,97,66,4,7,9,4,1,0,1,0
Ben Foster,GK,West Brom,55,151,98,6,12,19,10,1,1,0,0
Paulo Gazzaniga,GK,Tottenham,0,3,3,1,0,0,1,0,0,0,0
David de Gea,GK,Manchester Utd,28,140,114,24,6,7,18,1,1,0,0
Heurelho Gomes,GK,Watford,40,100,61,7,5,12,5,3,3,0,0
Lee Grant,GK,Stoke City,7,15,8,0,1,2,0,0,0,0,0
Ben Hamer,GK,Leicester City,7,13,6,0,1,2,1,1,1,0,0
Joe Hart,GK,West Ham,39,91,51,3,6,10,4,5,4,1,0
Tom Heaton,GK,Burnley,4,12,8,2,1,1,0,0,0,0,0
Wayne Hennessey,GK,Crystal Palace,41,127,88,8,6,13,7,1,1,0,0
Eldin Jakupović,GK,Leicester City,6,13,8,1,0,1,0,0,0,0,0
Loris Karius,GK,Liverpool,14,45,30,11,5,3,10,3,2,1,0
Orestis Karnezis,GK,Watford,24,56,32,4,3,7,4,3,3,0,0
Hugo Lloris,GK,Tottenham,35,117,82,22,7,7,15,3,2,0,1
Jonas Lössl,GK,Huddersfield,58,158,99,9,10,19,10,6,4,2,0
Alex McCarthy,GK,Southampton,26,68,42,3,8,7,4,1,1,0,0
Simon Mignolet,GK,Liverpool,24,59,34,10,7,2,7,3,2,1,0
Boaz Myhill,GK,West Brom,1,3,2,0,1,0,0,0,0,0,0
David Ospina,GK,Arsenal,3,12,9,3,0,1,2,0,0,0,0
Jordan Pickford,GK,Everton,58,178,119,13,10,15,10,5,3,1,1
Nick Pope,GK,Burnley,35,148,113,12,11,11,12,5,3,1,1
Sergio Romero,GK,Manchester Utd,0,3,3,1,0,0,1,0,0,0,0
Mathew Ryan,GK,Brighton,54,172,121,9,13,16,10,3,1,2,0
Kasper Schmeichel,GK,Leicester City,47,138,90,11,10,12,8,3,1,2,0
Julián Speroni,GK,Crystal Palace,14,43,29,3,5,3,2,1,1,0,0
Michel Vorm,GK,Tottenham,1,4,4,0,1,0,0,0,0,0,0
