rank,player,nation,position,team,age,born,ninetys,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribbler_tackles_attempted,dribbler_tackled_success_percentage,challenges_lost,total_blocks,shots_blocked,passes_blocked,interceptions,tackles+interceptions,clearances,errors_leading_to_shot
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,48,24,35,11,2,24,40,60,16,33,9,24,40,88,91,2
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,27.3,17,9,1,10,6,5,9,55.6,4,15,1,14,9,26,3,0
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,37.9,66,35,42,21,3,22,35,62.9,13,51,35,16,32,98,241,0
4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,18.1,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,37,23,25,10,2,12,22,54.5,10,41,22,19,24,61,175,0
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,61,39,31,22,8,36,68,52.9,32,19,3,16,35,96,68,0
7,Alisson,br BRA,GK,Liverpool,25,1992,38,2,1,2,0,0,2,2,100,0,0,0,0,1,3,14,6
8,Dele Alli,eng ENG,MF,Tottenham,22,1996,20.3,33,19,6,14,13,5,24,20.8,19,33,5,28,19,52,20,0
9,Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,8.4,20,12,7,10,3,4,10,40,6,14,1,13,8,28,5,0
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,30.7,73,46,44,22,7,33,58,56.9,25,25,2,23,39,112,101,0
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,7.1,18,12,11,6,1,10,15,66.7,5,6,4,2,17,35,28,1
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
13,Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,33.8,89,49,33,44,12,31,101,30.7,70,71,0,71,41,130,18,1
14,Florin Andone,ro ROU,FW,Brighton,25,1993,9.8,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0
15,Michail Antonio,jm JAM,"MF,FW",West Ham,28,1990,23.4,23,14,12,6,5,6,12,50,6,38,3,35,18,41,26,1
16,Stuart Armstrong,sct SCO,MF,Southampton,26,1992,15.9,28,20,14,6,8,8,42,19,34,14,0,14,12,40,12,0
17,Marko Arnautović,at AUT,FW,West Ham,29,1989,22.1,9,5,4,3,2,1,7,14.3,6,4,2,2,3,12,6,0
18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,1,1,1,0,0,1,2,50,1,1,0,1,0,1,4,2
19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,22.2,62,37,27,26,9,16,46,34.8,30,33,5,28,21,83,21,2
20,Christian Atsu,gh GHA,MF,Newcastle Utd,26,1992,16.6,24,15,9,11,4,5,16,31.3,11,13,3,10,7,31,16,0
21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,21,17,6,9,6,8,28,28.6,20,26,0,26,8,29,22,0
22,Serge Aurier,ci CIV,DF,Tottenham,25,1992,6.3,20,12,12,4,4,8,15,53.3,7,8,2,6,7,27,20,0
23,Charlie Austin,eng ENG,FW,Southampton,29,1989,10.9,13,7,3,6,4,6,11,54.5,5,12,2,10,2,15,13,0
24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,38,23,12,19,7,6,20,30,14,16,0,16,7,45,6,0
25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,5.3,4,4,2,1,1,2,6,33.3,4,8,1,7,7,11,5,0
26,César Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,105,60,52,40,13,38,67,56.7,29,63,16,47,43,148,91,3
27,Ryan Babel,nl NED,"FW,MF",Fulham,31,1986,13.9,8,4,1,5,2,3,9,33.3,6,12,0,12,6,14,13,1
28,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,15.7,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1
