rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
1,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,10,1.03,27,17,63,9,0,0,2,22.2,0,0,0,0,
2,Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0
4,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,
5,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5,7,1.4,16,10,56.3,2,2,1,1,20,0,0,0,0,
6,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,38,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0
7,Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0
8,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,2117,23.5,34,1.45,104,71,70.2,8,7,10,5,20,4,3,1,0,25
9,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,1,4.29,2,1,100,,,1,,,,1,,,
10,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,3420,38,64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,0,11.1
11,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,17.9,26,1.45,82,56,72,5,5,7,2,11.8,4,3,1,0,25
12,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,38,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0
13,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,35,42,1.2,149,109,71.8,11,9,15,10,28.6,1,0,0,1,
14,Angus Gunn,sct SCO,GK,Southampton,23,1996,10,10,900,10,25,2.5,55,30,58.2,2,2,6,2,20,2,2,0,0,0
15,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20,3,3,0,0,0
16,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,3240,36,33,0.92,128,94,75,14,11,11,13,36.1,3,1,1,1,50
17,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3,3,270,3,8,2.67,23,15,65.2,0,1,2,0,0,0,0,0,0,
18,Tim Krul,nl NED,GK,Norwich City,31,1988,36,36,3240,36,68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,0,40
19,Bernd Leno,de GER,GK,Arsenal,27,1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3
20,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,21,21,1807,20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3
21,David Martin,eng ENG,GK,West Ham,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50,0,0,0,0,
22,Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,9,8,771,8.6,9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,0
23,Alex McCarthy,eng ENG,GK,Southampton,29,1989,28,28,2520,28,35,1.25,113,78,69.9,13,5,10,7,25,2,1,1,0,50
24,Michael McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,1.8,6,3.4,13,6,53.8,0,0,1,0,0,1,0,1,0,100
25,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,2,6,3,11,5,45.5,0,1,1,0,0,0,0,0,0,
26,Ørjan Nyland,no NOR,GK,Aston Villa,28,1990,7,5,539,6,12,2,27,15,55.6,0,2,3,1,20,0,0,0,0,
27,Rui Patrício,pt POR,GK,Wolves,31,1988,38,38,3420,38,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7
28,Jordan Pickford,eng ENG,GK,Everton,25,1994,38,38,3420,38,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0
29,Nick Pope,eng ENG,GK,Burnley,27,1992,38,38,3420,38,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20
30,Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,37,3330,37,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7
31,Darren Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,2,5,2.5,11,6,63.6,0,1,1,0,0,1,1,0,0,0
32,Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,12,1080,12,20,1.67,53,32,66,3,3,6,2,16.7,3,2,1,0,33.3
33,Roberto,es ESP,GK,West Ham,33,1986,8,7,687,7.6,17,2.23,51,35,68.6,0,1,6,0,0,1,1,0,0,0
34,Mathew Ryan,au AUS,GK,Brighton,27,1992,38,38,3420,38,54,1.42,168,116,69,9,14,15,9,23.7,2,2,0,0,0
35,Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,38,3420,38,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20
36,Jed Steer,eng ENG,GK,Aston Villa,26,1992,1,1,7,0.1,,,,,,,,1,,,,,,,
37,Mark Travers,ie IRL,GK,Bournemouth,20,1999,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,
