player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Kurt Zouma,DF,Chelsea,15,5,0,0,11.4,0,0,0,0.08,-1.2,-1.2
Richairo Živković,FW,Sheffield Utd,1,0,0,,11.6,0,0,0,0.07,-0.1,-0.1
Oleksandr Zinchenko,DF,Manchester City,16,3,0,0,26,0,0,0,0.03,-0.5,-0.5
Christoph Zimmermann,DF,Norwich City,6,1,0,0,16.8,0,0,0,0.06,-0.4,-0.4
Wilfried Zaha,"FW,MF",Crystal Palace,61,17,0.07,0.24,16.2,0,0,0,0.08,-1.2,-1.2
Pablo Zabaleta,DF,West Ham,0,0,,,,0,0,0,,0,0
Ashley Young,DF,Manchester Utd,3,0,0,,21.3,0,0,0,0.03,-0.1,-0.1
Maya Yoshida,DF,Southampton,5,3,0,0,11.6,0,0,0,0.13,-0.7,-0.7
DeAndre Yedlin,DF,Newcastle Utd,1,1,1,1,3.4,0,0,0,0.75,0.2,0.2
Andriy Yarmolenko,"MF,FW",West Ham,26,13,0.19,0.38,17.8,2,0,0,0.09,2.6,2.6
Granit Xhaka,MF,Arsenal,11,3,0.09,0.33,23,0,0,0,0.05,0.5,0.5
Chris Wood,FW,Burnley,64,28,0.2,0.46,10.7,0,1,1,0.23,-1.7,-1.9
Harry Winks,MF,Tottenham,14,2,0,0,25.4,0,0,0,0.04,-0.5,-0.5
Harry Wilson,"MF,FW",Bournemouth,56,20,0.13,0.35,20.8,12,0,0,0.07,3,3
Callum Wilson,FW,Bournemouth,55,21,0.15,0.38,12.4,0,0,0,0.18,-1.9,-1.9
Jack Wilshere,MF,West Ham,0,0,,,,0,0,0,,0,0
Joe Willock,"MF,FW",Arsenal,15,4,0.07,0.25,16.7,0,0,0,0.11,-0.6,-0.6
Willian,"FW,MF",Chelsea,67,25,0.07,0.2,20,9,4,4,0.07,1.4,0.5
Neco Williams,DF,Liverpool,7,1,0,0,21.8,0,0,0,0.04,-0.3,-0.3
Brandon Williams,DF,Manchester Utd,6,2,0.17,0.5,13.1,0,0,0,0.16,0,0
Jetro Willems,DF,Newcastle Utd,14,6,0.14,0.33,19.6,0,0,0,0.04,1.4,1.4
Georginio Wijnaldum,MF,Liverpool,36,15,0.11,0.27,16.2,0,0,0,0.07,1.4,1.4
Connor Wickham,"FW,MF",Crystal Palace,3,2,0.33,0.5,11.2,0,0,0,0.46,-0.4,-0.4
Ashley Westwood,MF,Burnley,13,3,0.15,0.67,20.2,2,0,0,0.08,0.9,0.9
Danny Welbeck,"FW,MF",Watford,22,9,0.09,0.22,11,0,0,0,0.18,-1.9,-1.9
Adam Webster,DF,Brighton,16,7,0.19,0.43,13.6,0,0,0,0.08,1.7,1.7
Kelland Watts,DF,Newcastle Utd,0,0,,,,0,0,0,,0,0
James Ward-Prowse,"MF,DF",Southampton,54,23,0.07,0.17,23.9,24,1,3,0.09,-2.3,-0.8
Joel Ward,DF,Crystal Palace,5,1,0,0,15.1,0,0,0,0.05,-0.3,-0.3
Victor Wanyama,MF,Tottenham,0,0,,,,0,0,0,,0,0
Aaron Wan-Bissaka,DF,Manchester Utd,7,1,0,0,15.5,0,0,0,0.1,-0.7,-0.7
Kyle Walker-Peters,DF,Tottenham,1,0,0,,22.7,0,0,0,0.03,0,0
Kyle Walker-Peters,DF,Southampton,2,0,0,,15.6,0,0,0,0.05,-0.1,-0.1
Kyle Walker,DF,Manchester City,14,3,0.07,0.33,25,1,0,0,0.09,-0.2,-0.2
Theo Walcott,"MF,FW",Everton,31,10,0.06,0.2,16.1,0,0,0,0.1,-1.1,-1.1
Matěj Vydra,FW,Burnley,18,10,0.11,0.2,13.1,0,0,0,0.21,-1.8,-1.8
Mario Vrančić,MF,Norwich City,14,3,0.07,0.33,19.2,2,0,0,0.11,-0.5,-0.5
Jake Vokins,DF,Southampton,1,0,0,,31.3,0,0,0,0.02,0,0
Rúben Vinagre,"MF,DF",Wolves,5,0,0,,13.6,0,0,0,0.06,-0.3,-0.3
Jannik Vestergaard,DF,Southampton,12,5,0.08,0.2,11.7,0,0,0,0.11,-0.4,-0.4
Jan Vertonghen,DF,Tottenham,4,2,0.25,0.5,12,0,0,0,0.1,0.6,0.6
Indiana Vassilev,"FW,MF",Aston Villa,1,0,0,,21.9,0,0,0,0.03,0,0
Jamie Vardy,FW,Leicester City,84,37,0.23,0.51,13.1,0,4,5,0.19,3.8,3.7
Virgil van Dijk,DF,Liverpool,31,14,0.16,0.36,11.8,0,0,0,0.09,2.1,2.1
Jesús Vallejo,DF,Wolves,0,0,,,,0,0,0,,0,0
Yan Valery,DF,Southampton,3,2,0,0,15.5,0,0,0,0.08,-0.3,-0.3
Axel Tuanzebe,DF,Manchester Utd,0,0,,,,0,0,0,,0,0
