player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Patrick van Aanholt,DF,Crystal Palace,1353,61,420,612,329,37,1353,22,10,12,728,3406,1622,29,9,24,6,800
Tammy Abraham,FW,Chelsea,358,20,35,171,154,61,358,18,6,12,154,694,266,5,8,33,7,239
Che Adams,FW,Southampton,926,24,98,403,439,97,926,50,28,22,516,2336,900,28,13,88,44,713
Tosin Adarabioyo,DF,Fulham,2272,398,1310,900,67,35,2272,14,11,3,1337,5844,3132,5,0,12,5,1522
Adrián,GK,Liverpool,110,99,110,0,0,0,110,0,0,0,52,259,79,0,0,0,0,47
Sergio Agüero,FW,Manchester City,234,0,5,99,131,45,232,13,8,5,155,769,330,10,3,15,11,191
Ola Aina,DF,Fulham,2052,105,781,957,330,17,2052,33,21,12,1070,5595,3024,40,5,27,10,1254
Rayan Aït Nouri,DF,Wolves,996,42,267,430,309,26,996,54,26,28,573,2959,1702,34,9,30,19,622
Semi Ajayi,DF,West Brom,1325,223,691,559,86,43,1325,18,10,8,536,3098,1537,10,2,24,5,652
Nathan Aké,DF,Manchester City,819,40,182,570,67,6,819,1,0,1,569,2748,1678,22,0,2,1,658
Marc Albrighton,"DF,FW",Leicester City,1163,37,246,462,476,37,1163,66,37,29,615,3494,1576,33,7,33,29,725
Thiago Alcántara,MF,Liverpool,1946,31,296,1226,438,16,1946,48,33,15,1252,5861,2930,58,4,23,18,1475
Toby Alderweireld,DF,Tottenham,1687,267,932,726,35,14,1687,4,4,0,987,4485,2370,5,0,2,2,1114
Rúnar Alex Rúnarsson,GK,Arsenal,13,10,12,1,0,0,13,0,0,0,5,26,12,0,0,0,0,6
Trent Alexander-Arnold,DF,Liverpool,3318,73,699,1494,1151,81,3318,61,32,29,1992,9462,5442,95,24,31,22,2202
Ezgjan Alioski,"DF,MF",Leeds United,1951,75,560,902,503,41,1951,26,11,15,1007,5508,3290,43,5,37,15,1197
Alisson,GK,Liverpool,1239,931,1224,16,1,1,1239,2,2,0,709,2807,1763,0,0,0,0,669
Allan,MF,Everton,1310,68,382,816,136,3,1310,49,31,18,721,4220,2314,31,2,21,18,831
Dele Alli,MF,Tottenham,444,7,64,241,146,23,444,25,11,14,276,1588,641,18,5,13,16,303
Miguel Almirón,"MF,FW",Newcastle Utd,1179,33,230,557,421,40,1179,73,39,34,773,5516,2516,48,14,48,34,792
Marcos Alonso,DF,Chelsea,729,32,199,300,238,38,729,17,9,8,362,1815,1095,18,4,13,9,450
Steven Alzate,MF,Brighton,536,17,105,308,128,12,536,16,8,8,323,1638,807,8,1,13,9,393
