player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Patrick van Aanholt,DF,Crystal Palace,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38,103,87
Tammy Abraham,FW,Chelsea,22,12,1040,11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66
Che Adams,FW,Southampton,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5,14.8,32,57,149
Tosin Adarabioyo,DF,Fulham,33,33,2953,32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5,75,3
Adrián,GK,Liverpool,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Manchester City,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12,12,39
Ola Aina,DF,Fulham,31,31,2664,29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63,106,50
Rayan Aït Nouri,DF,Wolves,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85
Semi Ajayi,DF,West Brom,33,31,2780,30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13,73,7
Nathan Aké,DF,Manchester City,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0,0.3,12,52,6
Marc Albrighton,"DF,FW",Leicester City,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46,84,139
Thiago Alcántara,MF,Liverpool,24,20,1854,20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5,27,203,25
Toby Alderweireld,DF,Tottenham,25,25,2240,24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4,3,59,1
Rúnar Alex Rúnarsson,GK,Arsenal,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,36,34,3031,33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98,251,249
Ezgjan Alioski,"DF,MF",Leeds United,36,29,2461,27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9,77,132,122
Alisson Becker,GK,Liverpool,33,33,2970,33,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,0,1,0
Allan,MF,Everton,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,30,92,8
Dele Alli,MF,Tottenham,15,7,620,6.9,0,1,1,0,0,0,0,0,2,2,1.2,3.3,15,26,30
Miguel Almirón,"MF,FW",Newcastle Utd,34,28,2429,27,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1,70,90,109
Marcos Alonso,DF,Chelsea,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2,24,42,74
Steven Alzate,MF,Brighton,15,10,896,10,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,39,16
Daniel Amartey,DF,Leicester City,12,8,722,8,1,0,1,1,0,0,3,0,0.4,0.4,0,0.4,4,24,0
Ethan Ampadu,"DF,MF",Sheffield Utd,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23
Joachim Andersen,DF,Fulham,31,30,2730,30.3,1,1,2,1,0,0,7,1,1.2,1.2,0.4,1.7,20,95,7
Elliot Anderson,MF,Newcastle Utd,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Felipe Anderson,"FW,MF",West Ham,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Michail Antonio,FW,West Ham,26,24,1974,21.9,10,5,15,10,0,0,3,0,12.9,12.9,3,16,59,36,177
Alphonse Areola,GK,Fulham,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Stuart Armstrong,MF,Southampton,33,32,2764,30.7,4,5,9,4,0,0,3,0,2.7,2.7,2.6,5.3,109,144,118
Kepa Arrizabalaga,GK,Chelsea,7,6,585,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Pierre-Emerick Aubameyang,FW,Arsenal,29,26,2332,25.9,10,3,13,8,2,2,2,0,10.2,8.6,2.4,11,65,66,195
Serge Aurier,DF,Tottenham,19,19,1605,17.8,2,3,5,2,0,0,0,0,1.1,1.1,3.4,4.5,28,59,82
Charlie Austin,"FW,MF",West Brom,5,0,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,3,4
