rank,player,nation,position,team,age,born,ninetys,passes_completed,passes_attempted,pass_completion_percentage,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
1,Max Aarons,eng ENG,DF,Bournemouth,24-025,2000,12.1,379,501,75.6,6256,2424,186,213,87.3,156,202,77.2,31,56,55.4,1,0.8,0.9,0.2,7,22,12,2,40
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,21-060,2002,4.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100,0,0.5,0.5,-0.5,4,2,7,1,9
3,Tosin Adarabioyo,eng ENG,DF,Fulham,26-127,1997,7,416,491,84.7,8397,3125,115,128,89.8,254,283,89.8,43,66,65.2,0,0.1,0.1,-0.1,1,21,2,0,23
4,Elijah Adebayo,eng ENG,FW,Luton Town,26-022,1998,10.2,104,141,73.8,1277,276,72,88,81.8,25,37,67.6,2,4,50,0,0.6,0.4,-0.6,13,3,3,0,15
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22-028,2002,12.7,335,435,77,4753,880,212,257,82.5,100,130,76.9,14,20,70,1,2.1,1.4,-1.1,18,9,19,6,22
6,Nayef Aguerd,ma MAR,DF,West Ham,27-305,1996,15.7,685,859,79.7,14765,6701,243,259,93.8,315,341,92.4,118,238,49.6,0,0.2,0.3,-0.2,3,46,1,0,44
7,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20-215,2003,0.1,4,8,50,48,23,3,6,50,1,2,50,0,0,,0,0,0,0,0,1,0,0,0
8,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21-306,2002,1.6,63,80,78.8,918,254,34,41,82.9,23,26,88.5,2,4,50,0,0,0.1,0,1,2,0,0,10
9,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24-309,1999,14.5,411,544,75.6,6647,2502,207,237,87.3,170,209,81.3,26,72,36.1,0,0,0.1,0,1,24,1,0,20
10,Ola Aina,ng NGA,DF,Nott'ham Forest,27-113,1996,11,290,392,74,4606,1841,154,173,89,112,143,78.3,18,50,36,1,0.5,0.4,0.5,5,22,3,1,30
11,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,22-237,2001,12.7,456,555,82.2,6467,2140,287,323,88.9,135,162,83.3,19,37,51.4,0,0.9,0.8,-0.9,12,31,6,0,53
12,Kristoffer Ajer,no NOR,DF,Brentford,25-287,1998,8.1,285,381,74.8,4741,1704,146,170,85.9,115,148,77.7,21,48,43.8,1,1.6,1.9,-0.6,7,28,1,1,29
13,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28-194,1995,14,1113,1198,92.9,18383,4726,545,568,96,491,516,95.2,60,85,70.6,0,0.2,0.8,-0.2,5,114,1,0,65
14,Nathan Aké,nl NED,DF,Manchester City,28-345,1995,12.2,875,943,92.8,14167,4416,401,423,94.8,428,447,95.7,28,47,59.6,1,1.1,0.7,-0.1,6,65,1,0,62
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-114,1998,16.6,1063,1420,74.9,20864,8433,457,497,92,415,528,78.6,174,354,49.2,3,5.1,4.2,-2.1,49,136,36,10,140
16,Alisson,br BRA,GK,Liverpool,31-119,1992,19,682,800,85.3,15126,9366,166,167,99.4,399,407,98,115,219,52.5,0,0,0,0,1,6,0,0,2
