rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
1,Max Aarons,eng ENG,DF,Bournemouth,24-116,2000,13,0,2,0,0,0.15,0,0,,23.9,0,0,0,0,0,0.02,0,0
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,21-151,2002,4.3,0,1,1,100,0.23,0.23,0,0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
3,Tyler Adams,us USA,MF,Bournemouth,25-075,1999,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,26-218,1997,18,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3
5,Elijah Adebayo,eng ENG,FW,Luton Town,26-113,1998,13.1,9,28,12,42.9,2.14,0.92,0.32,0.75,9.5,0,0,0,5.6,5.6,0.2,3.4,3.4
6,Simon Adingra,ci CIV,FW,Brighton,22-119,2002,20.9,6,42,18,42.9,2.01,0.86,0.14,0.33,15.8,0,0,0,3.6,3.6,0.09,2.4,2.4
7,Nayef Aguerd,ma MAR,DF,West Ham,28-030,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20-306,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,22-031,2002,3.1,0,8,2,25,2.58,0.65,0,0,20,0,0,0,0.4,0.4,0.05,-0.4,-0.4
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25-034,1999,27.4,2,19,5,26.3,0.69,0.18,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1
11,Ola Aina,ng NGA,DF,Nott'ham Forest,27-204,1996,16.8,1,8,1,12.5,0.48,0.06,0.13,1,25.9,0,0,0,0.2,0.2,0.02,0.8,0.8
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22-328,2001,23.4,2,22,6,27.3,0.94,0.26,0.09,0.33,16.6,0,0,0,3.1,3.1,0.14,-1.1,-1.1
13,Kristoffer Ajer,no NOR,DF,Brentford,26-012,1998,19.2,2,12,4,33.3,0.63,0.21,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28-285,1995,24.1,2,11,4,36.4,0.46,0.17,0.18,0.5,18.7,0,0,0,0.9,0.9,0.09,1.1,1.1
15,Nathan Aké,nl NED,DF,Manchester City,29-071,1995,21.5,2,20,5,25,0.93,0.23,0.1,0.4,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5
16,Thiago Alcántara,es ESP,MF,Liverpool,33-018,1991,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-205,1998,21.2,3,37,7,18.9,1.75,0.33,0.08,0.43,24.4,5,0,0,2.1,1.9,0.05,0.9,1.1
18,Alisson,br BRA,GK,Liverpool,31-210,1992,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
19,Miguel Almirón,py PAR,FW,Newcastle Utd,30-079,1994,20.5,3,40,11,27.5,1.95,0.54,0.08,0.27,16.3,0,0,0,4.5,4.5,0.11,-1.5,-1.5
20,Edson Álvarez,mx MEX,MF,West Ham,26-188,1997,25.7,1,17,3,17.6,0.66,0.12,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,24-089,2000,29.2,9,95,36,37.9,3.25,1.23,0.08,0.22,17.7,13,1,1,11.8,11.1,0.12,-2.8,-3.1
22,Zeki Amdouni,ch SUI,FW,Burnley,23-147,2000,20.8,5,43,21,48.8,2.07,1.01,0.09,0.19,17.6,0,1,1,5.3,4.5,0.11,-0.3,-0.5
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,27-252,1996,7.4,0,2,0,0,0.27,0,0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27-334,1996,35,2,21,8,38.1,0.6,0.23,0.1,0.25,12.8,1,0,0,1.7,1.7,0.08,0.3,0.3
25,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,21-175,2002,9.2,0,16,4,25,1.73,0.43,0,0,13.5,0,0,0,1.4,1.4,0.09,-1.4,-1.4
26,Jaidon Anthony,eng ENG,FW,Bournemouth,24-150,1999,1.7,0,2,1,50,1.18,0.59,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
27,Michail Antonio,jm JAM,FW,West Ham,34-032,1990,16.4,6,26,12,46.2,1.59,0.73,0.23,0.5,12.8,0,0,0,5.5,5.5,0.21,0.5,0.5
28,Antony,br BRA,FW,Manchester Utd,24-065,2000,13.8,1,41,13,31.7,2.97,0.94,0.02,0.08,18.7,0,0,0,3.3,3.3,0.08,-2.3,-2.3
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19-360,2004,8.1,0,1,1,100,0.12,0.12,0,0,16.6,0,0,0,0,0,0.04,0,0
30,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22-283,2001,18,4,34,7,20.6,1.89,0.39,0.12,0.57,16.1,0,0,0,4.4,4.4,0.14,-0.4,-0.4
31,Cameron Archer,eng ENG,MF,Aston Villa,22-283,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
32,Alphonse Areola,fr FRA,GK,West Ham,31-062,1993,27,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
33,Lorenz Assignon,tg TOG,DF,Burnley,23-312,2000,11.2,1,6,2,33.3,0.54,0.18,0.17,0.5,19.4,0,0,0,0.3,0.3,0.05,0.7,0.7
34,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,31-127,1992,9.3,0,6,1,16.7,0.65,0.11,0,0,16,0,0,0,0.2,0.2,0.03,-0.2,-0.2
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26-261,1997,11.4,6,22,11,50,1.93,0.97,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,1.3,1.3
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32-231,1991,28.2,4,47,18,38.3,1.67,0.64,0.09,0.22,18.1,0,0,0,3.8,3.8,0.08,0.2,0.2
37,Benoît Badiashile,fr FRA,DF,Chelsea,23-034,2001,10.2,0,4,1,25,0.39,0.1,0,0,9.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,26-264,1997,21,10,50,18,36,2.38,0.86,0.2,0.56,16.4,1,0,0,6.1,6.1,0.12,3.9,3.9
39,George Baldock,gr GRE,DF,Sheffield Utd,31-051,1993,10.8,0,1,0,0,0.09,0,0,,22.2,0,0,0,0,0,0.02,0,0
