rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,direct_goal_contributions_per_90,non_penalty_goals_per_90,direct_non_penalty_goal_contributions_per_90,expected_goals_per_90,expected_assisted_goals_per_90,expected_direct_goal_contributions_per_90,non_penalty_expected_goals_per_90,expected_non_penalty_direct_goal_contributions_per_90
1,Max Aarons,eng ENG,DF,Bournemouth,24-116,2000,18,12,1166,13,0,1,1,0,0,0,1,0,0,0,0.8,0.9,21,42,25,0,0.08,0.08,0,0.08,0,0.06,0.07,0,0.07
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,21-151,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0,0,0,0,0,0.06,0.13,0.19,0.06,0.19
3,Tyler Adams,us USA,MF,Bournemouth,25-075,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,4,1,0,0,0,0,0,0,0.07,0.07,0,0.07
4,Tosin Adarabioyo,eng ENG,DF,Fulham,26-218,1997,20,18,1617,18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
5,Elijah Adebayo,eng ENG,FW,Luton Town,26-113,1998,24,13,1175,13.1,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,90,0.69,0,0.69,0.69,0.69,0.43,0.05,0.48,0.43,0.48
6,Simon Adingra,ci CIV,FW,Brighton,22-119,2002,27,21,1877,20.9,6,1,7,6,0,0,2,0,3.6,3.6,2.5,6.1,91,43,245,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29
7,Nayef Aguerd,ma MAR,DF,West Ham,28-030,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20-306,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,22-031,2002,19,0,279,3.1,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,17,18,18,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25-034,1999,29,27,2470,27.4,2,0,2,2,0,0,9,0,3.1,3.1,0.8,4,13,36,19,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14
11,Ola Aina,ng NGA,DF,Nott'ham Forest,27-204,1996,20,18,1512,16.8,1,1,2,1,0,0,3,0,0.2,0.2,0.8,1,44,57,33,0.06,0.06,0.12,0.06,0.12,0.01,0.05,0.06,0.01,0.06
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22-328,2001,30,26,2102,23.4,2,1,3,2,0,0,7,0,3.1,3.1,2,5.1,61,92,87,0.09,0.04,0.13,0.09,0.13,0.13,0.08,0.22,0.13,0.22
13,Kristoffer Ajer,no NOR,DF,Brentford,26-012,1998,26,19,1726,19.2,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,20,57,31,0.1,0.05,0.16,0.1,0.16,0.07,0.12,0.19,0.07,0.19
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28-285,1995,26,24,2171,24.1,2,0,2,2,0,0,4,1,0.9,0.9,0.4,1.3,41,128,34,0.08,0,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05
