goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,blocks,xg,npxg,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_clean_sheets,gk_psxg,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_passed_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kicks_length_avg,match_id,date,season,competition_id,referee_id,home_team_id,away_team_id,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
-0.7,-0.35,0.0,0.0,-2.45,-0.7,-0.175,0.0,3.325,-0.2975,-0.2975,-118.125,-58.975,-15.925,-16.975,-2.275,-0.7,1.75,3.15,-0.1575,-0.2275,-1.4,-2.625,-0.875,-0.175,-2.45,-0.35,0.175,0.35,-0.35,-0.35,0.175,0.875,1.75,1.575,-0.525,3.675,0.175,-16.975,8.05,8.4,-8.05,-17.325,-4.2,-16.975,-3.675,-2.8,-0.875,-30.45,-159.25,-108.15,-3.5,-2.1,-1.75,0.35,0.0,-16.8,-2.45,-4.025,-3.325,-0.35,0.0,-0.0,-0.175,-0.175,-0.875,-0.7,0.0,0.0,0.0,-0.175,0.0,0.175,0.0,0.175,0.0,0.175,0.0,0.0,0.0,0.0,0.0,1.925,0.0,0.0,0.0175,2.625,0.0,m-00011,2017-08-19,2017-2018,x-00005,r-00007,t-00062,t-00036,0,4,6,17,1,8,3,5,12,11,1,1,0,0
-0.7,-1.05,0.0,0.0,-3.675,-1.75,0.175,0.0,0.7,-0.4025,-0.4025,-1020.25,-228.725,-34.825,-38.5,-23.8,-22.925,-4.375,-0.7,-0.56,-0.315,-4.2,-5.6,-1.225,-0.35,-5.6,-1.05,-1.05,-0.175,-0.7,-0.175,-1.05,-1.925,0.35,0.35,1.925,-1.4,0.0,-66.85,-0.175,-9.975,-32.9,-24.325,-2.975,-66.85,-1.75,-1.575,-0.175,-62.65,-310.275,-185.85,-4.025,-4.375,-0.525,0.7,-0.525,-66.15,-5.6,-8.575,-6.3,-0.875,-0.875,-0.525,-0.0,0.0,-1.75,-1.05,-0.35,0.0,-0.35,0.0,0.0,0.175,-0.35,0.525,0.0,-0.175,0.0,0.0,0.0,0.0,0.0,2.45,0.7,0.175,1.5225,0.35,0.0,m-00012,2017-08-19,2017-2018,x-00005,r-00001,t-00060,t-00002,1,0,11,18,4,6,2,9,6,11,0,0,0,0
0.0,0.0,0.0,0.0,14.0,0.7,0.0,0.0,-4.2,1.19,1.19,1254.4,156.8,69.3,70.0,30.8,36.4,-1.4,-4.2,0.91,0.77,11.2,12.6,9.1,4.9,21.0,-6.3,-4.2,-4.9,-0.0,-1.4,-4.2,-17.5,-4.2,0.0,0.0,-11.2,-0.7,91.7,-37.8,-60.2,45.5,107.1,18.2,91.7,2.1,2.1,0.0,110.6,481.6,332.5,10.5,7.7,3.5,2.1,-2.1,97.3,21.0,25.9,21.0,1.4,-0.7,2.8,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-2.8,-0.7,0.7,-1.4,0.0,0.0,0.0,0.0,0.0,-7.7,-7.7,-2.8,1.4,-6.3,0.0,m-00013,2017-08-19,2017-2018,x-00005,r-00009,t-00057,t-00069,3,2,14,16,5,8,7,2,18,10,1,1,0,1
-0.525,-0.175,0.0,0.0,0.0,-0.35,0.175,0.0,-1.75,-0.3325,-0.3325,834.225,220.15,6.65,5.6,39.725,38.85,-0.35,-0.7,-0.0875,0.0,0.525,6.3,0.7,0.175,7.525,-0.525,0.175,1.05,-1.4,-0.175,0.875,0.0,0.0,-1.75,-1.05,-1.4,-0.175,29.75,-0.35,3.325,14.7,11.9,1.05,29.75,-1.4,-1.05,-0.35,4.55,120.75,16.8,0.525,-0.175,0.525,-0.525,0.175,43.05,7.7,0.175,0.875,0.0,-0.35,-0.525,0.175,0.0,-0.875,-0.175,-0.175,-0.175,-0.35,0.0,0.0,0.175,-0.35,0.525,0.0,-0.525,-0.175,-0.175,0.0,0.0,0.0,-3.325,-2.1,-0.175,-2.5025,-0.35,0.0,m-00014,2017-08-19,2017-2018,x-00005,r-00017,t-00009,t-00067,0,2,6,19,2,7,8,5,6,14,1,3,0,0
0.525,0.525,0.0,0.0,0.0,0.175,0.175,0.0,1.4,0.2275,0.2275,143.325,56.175,4.55,3.5,0.525,2.1,1.925,4.375,0.2275,0.1925,0.35,1.75,0.525,0.525,1.925,1.225,0.0,0.35,0.525,0.35,-0.525,1.225,0.525,0.875,-0.175,-2.45,-0.175,14.7,-1.925,-1.4,4.025,12.075,0.35,14.7,1.225,-0.35,1.575,4.2,35.875,9.8,0.875,0.35,0.175,1.4,0.7,7.35,2.1,-0.525,0.175,0.0,0.0,-0.525,-0.175,0.0,0.875,0.525,0.175,0.0,0.175,0.0,0.0,1.05,0.35,0.525,0.0,0.175,0.0,0.0,0.0,0.0,0.0,1.925,1.05,-0.525,1.54,0.0,0.0,m-00015,2017-08-19,2017-2018,x-00005,r-00010,t-00032,t-00012,2,0,14,5,4,2,6,2,8,10,1,0,0,0
0.35,0.35,0.0,0.0,-1.05,-0.175,0.0,0.0,0.875,-0.105,-0.105,394.275,110.6,-2.8,-0.875,13.3,10.5,4.2,2.275,-0.1575,-0.2275,-1.225,0.875,0.35,0.525,0.875,-1.75,-1.925,-0.35,-1.4,0.0,-0.175,0.0,0.35,0.525,-0.175,2.45,0.0,10.15,1.4,5.25,9.975,-6.125,-1.4,10.15,-1.4,0.175,-1.575,2.45,-0.875,1.575,-1.225,-0.7,-0.175,1.05,0.525,13.65,0.7,-1.575,-2.275,0.0,0.175,0.0,0.525,0.0,0.7,0.7,0.0,0.175,0.0,-0.175,0.0,0.7,0.35,0.35,-0.175,0.35,0.0,0.0,0.0,0.0,0.0,2.1,2.8,0.525,0.105,0.35,0.0,m-00016,2017-08-19,2017-2018,x-00005,r-00011,t-00014,t-00068,0,1,20,8,0,1,5,5,11,11,1,0,0,1
0.525,0.35,0.175,0.175,-0.175,0.0,0.35,0.0,0.525,0.2975,0.1575,140.0,10.85,2.45,5.775,9.8,12.075,-1.925,-1.75,0.2275,0.0525,0.875,-0.875,0.525,0.0,1.225,-0.7,-0.7,-0.175,-0.7,0.175,0.0,1.05,0.175,0.35,-1.4,0.875,0.0,13.65,1.925,7.875,1.925,3.85,0.7,13.475,-2.1,-2.1,0.0,11.2,65.1,53.725,1.4,0.35,-0.0,0.7,-1.575,9.1,1.225,0.7,1.925,-0.35,-0.35,0.35,-0.525,-0.35,0.875,0.525,0.0,0.0,0.175,0.175,0.0,-0.35,0.0,-0.525,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.7,0.175,-0.91,0.7,0.0,m-00017,2017-08-19,2017-2018,x-00005,r-00008,t-00033,t-00022,1,0,23,4,13,1,4,2,12,13,1,3,0,0
0.35,0.35,0.0,0.0,0.525,0.7,0.35,-0.175,-0.875,0.1225,0.1225,187.425,103.425,2.275,2.975,2.625,5.075,2.1,2.625,0.105,0.1225,0.175,0.35,0.0,0.0,0.175,2.8,1.75,1.05,1.225,0.525,-0.175,1.225,-0.7,-0.175,0.175,-0.175,0.0,9.975,0.0,0.0,4.2,6.125,-0.175,9.975,0.7,0.175,0.525,-3.85,-24.325,-30.625,0.175,-0.35,0.175,-0.175,0.875,7.175,0.0,0.7,0.175,0.525,0.175,0.0,-0.175,0.0,0.7,0.525,0.175,0.0,0.0,0.0,0.0,-0.35,-0.35,0.0,0.175,-0.35,0.0,0.0,0.0,0.0,0.0,-0.175,-0.525,0.0,0.1575,0.525,0.0,m-00018,2017-08-20,2017-2018,x-00005,r-00004,t-00028,t-00040,1,0,7,13,3,5,7,3,13,10,3,4,0,0
0.0,0.0,0.0,0.0,-0.175,0.0,-0.525,-0.35,-0.175,0.175,0.175,565.775,156.1,13.825,14.175,22.05,21.35,-0.525,-2.275,0.1225,0.0875,0.0,1.925,1.4,0.0,2.975,1.05,0.525,0.35,0.525,0.175,0.175,0.525,-0.175,0.0,-0.7,0.525,0.0,34.65,0.0,-3.5,33.95,4.2,0.35,34.65,1.575,0.875,0.35,23.8,7.525,4.55,0.0,1.225,-0.35,-0.7,0.0,33.775,2.975,-1.225,-1.225,0.175,0.0,-0.175,-0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.525,-0.525,0.0,0.175,-0.175,0.0,0.0,0.0,0.0,0.0,-2.1,-1.225,0.35,-1.7675,0.175,0.0,m-00019,2017-08-20,2017-2018,x-00005,r-00002,t-00064,t-00018,1,2,18,9,6,2,14,3,14,21,3,3,0,0
-0.0,0.0,0.0,0.0,0.875,0.0,0.175,0.0,0.525,0.2275,0.2275,674.8,107.625,26.075,26.95,18.025,16.975,1.4,-1.4,0.1225,0.28,0.525,7.0,1.4,-0.525,9.625,-1.225,-1.05,-0.525,-0.175,-0.525,-0.175,-0.7,0.0,0.525,-1.75,-6.125,0.175,39.725,-7.875,-16.975,29.05,27.3,0.875,39.725,0.875,0.875,0.0,44.275,254.975,157.325,4.025,3.15,-0.175,-0.7,-1.4,51.275,9.625,2.1,1.75,-0.175,0.0,0.175,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.325,-0.525,0.525,-3.7625,-1.05,0.0,m-00020,2017-08-21,2017-2018,x-00005,r-00018,t-00035,t-00025,1,1,19,7,6,2,7,1,7,9,1,2,1,1
