season,competition_id,date,home_team_id,away_team_id,home_goals,away_goals,home_shots_on_target,away_shots_on_target,closing_home_odds,closing_draw_odds,closing_away_odds,home_elo,away_elo,home_rolling_goal_difference,away_rolling_goal_difference,home_rolling_goal_difference_at_home,away_rolling_goal_difference_at_away,h2h_rolling_goal_difference,home_rolling_shots_on_target,away_rolling_shots_on_target,home_manager_h2h_avg_goals,home_manager_h2h_avg_shots,home_manager_h2h_avg_shots_on_target,home_manager_h2h_avg_corners,home_manager_h2h_avg_fouls,home_manager_h2h_avg_yellow_cards,home_manager_h2h_avg_red_cards,away_manager_h2h_avg_goals,away_manager_h2h_avg_shots,away_manager_h2h_avg_shots_on_target,away_manager_h2h_avg_corners,away_manager_h2h_avg_fouls,away_manager_h2h_avg_yellow_cards,away_manager_h2h_avg_red_cards,full_time_result,home_win,draw,away_win,h2h_home_wins,h2h_draws,h2h_away_wins
2017-2018,x-00005,2017-08-11,t-00002,t-00032,4.0,3.0,10.0,3.0,1.49,4.73,7.25,1848.28649902,1716.99487305,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00012,t-00035,0.0,2.0,2.0,4.0,11.75,6.15,1.29,1583.79980469,1866.80700684,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00067,t-00033,3.0,3.0,4.0,5.0,6.88,4.27,1.56,1603.66809082,1837.41552734,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0,1,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00025,t-00060,1.0,0.0,4.0,1.0,1.82,3.49,5.42,1751.50134277,1662.61376953,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00068,t-00009,1.0,0.0,6.0,2.0,2.65,3.21,3.02,1645.13134766,1653.75756836,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00022,t-00028,0.0,3.0,4.0,6.0,1.79,3.56,5.51,1642.86242676,1475.79931641,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00057,t-00062,0.0,0.0,2.0,0.0,1.56,4.25,6.85,1692.06628418,1649.37011719,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0,1,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-12,t-00018,t-00014,2.0,3.0,6.0,5.0,1.33,5.4,12.25,1909.3996582,1628.98840332,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-13,t-00036,t-00069,4.0,0.0,6.0,1.0,1.31,5.79,12.01,1857.80200195,1672.55529785,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-13,t-00040,t-00064,0.0,2.0,3.0,6.0,4.82,3.9,1.8,1623.17907715,1887.51184082,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00062,t-00036,0.0,4.0,1.0,8.0,11.55,5.25,1.34,1656.47155762,1866.90808105,0,4,0,0,0.0,0,6,0.0,4.0,0.0,0.0,13.0,1.0,0.0,4.0,22.0,6.0,11.0,19.0,2.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00060,t-00002,1.0,0.0,4.0,6.0,4.37,3.92,1.86,1662.23205566,1855.38903809,-1,1,0,0,0.0,1,10,0.0,9.0,1.0,7.0,10.0,1.0,0.0,4.0,27.0,10.0,9.0,9.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00057,t-00069,3.0,2.0,5.0,8.0,1.7,4.02,5.45,1692.53527832,1671.01965332,0,-4,0,-4,0.0,2,1,0.0,29.0,2.0,13.0,10.0,2.0,0.0,0.0,9.0,1.0,1.0,7.0,2.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00009,t-00067,0.0,2.0,2.0,7.0,2.1,3.52,3.84,1651.28466797,1611.68066406,-1,0,0,0,0.0,2,4,0.0,9.0,2.0,2.0,3.0,1.0,0.0,3.0,9.0,4.0,3.0,14.0,0.0,0.0,A,0,0,1,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00032,t-00012,2.0,0.0,4.0,2.0,1.76,3.73,5.45,1717.46289062,1582.86523438,-1,-2,0,0,0.0,3,2,3.0,6.0,3.0,4.0,12.0,1.0,0.0,0.0,6.0,2.0,3.0,6.0,0.0,0.0,H,1,0,0,0.0,0.0,0.0
2017-2018,x-00005,2017-08-19,t-00014,t-00068,0.0,1.0,0.0,1.0,2.75,3.01,3.09,1648.39099121,1655.17468262,1,1,0,0,0.0,5,6,3.0,10.0,5.0,5.0,11.0,3.0,0.0,1.0,16.0,6.0,8.0,15.0,3.0,0.0,A,0,0,1,0.0,0.0,0.0
