Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Patrick van Aanholt,DF,Crystal Palace,29,29,2507,27.9,0.11,0.07,0.18,0.07,0.04,0.04,0,0,0.08,0.05,0.13,0.18,2.15,5.13,3.19
Max Aarons,DF,Norwich City,36,36,3240,36,0,0.03,0.03,0,0,0,0.19,0,0.02,0.02,0.11,0.13,2.56,2.17,4.19
Tammy Abraham,FW,Chelsea,34,25,2215,24.6,0.61,0.12,0.73,0.61,0,0,0.08,0,0.67,0.67,0.11,0.77,1.26,1.38,5.45
Che Adams,FW,Southampton,30,12,1111,12.3,0.33,0.16,0.49,0.33,0,0,0,0,0.43,0.43,0.14,0.57,1.63,1.3,7.07
Adrián,GK,Liverpool,11,9,875,9.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Manchester City,24,18,1452,16.1,0.99,0.19,1.18,0.87,0.12,0.19,0.06,0,0.9,0.75,0.14,0.89,2.17,2.11,6.52
Albian Ajeti,FW,West Ham,9,0,139,1.5,0,0,0,0,0,0,0,0,0.13,0.13,0.07,0.13,0,0,6.67
Nathan Aké,DF,Bournemouth,29,29,2503,27.8,0.07,0.07,0.14,0.07,0,0,0.07,0,0.11,0.11,0.08,0.18,0.43,2.91,0.25
Marc Albrighton,"MF,DF",Leicester City,20,9,867,9.6,0,0.31,0.31,0,0,0,0.21,0,0.04,0.04,0.23,0.27,2.08,4.69,9.79
Toby Alderweireld,DF,Tottenham,33,33,2957,32.9,0.06,0.06,0.12,0.06,0,0,0.21,0,0.02,0.02,0.04,0.06,0.33,2.92,0.3
Trent Alexander-Arnold,DF,Liverpool,38,35,3175,35.3,0.11,0.37,0.48,0.11,0,0,0.14,0,0.08,0.08,0.31,0.39,2.78,7,6.4
Alisson,GK,Liverpool,29,29,2543,28.3,0,0.04,0.04,0,0,0,0,0.04,0,0,0.01,0.01,0,0.04,0
Dele Alli,"MF,FW",Tottenham,25,21,1847,20.5,0.39,0.2,0.59,0.34,0.05,0.05,0.1,0,0.4,0.36,0.17,0.53,2.73,3.37,7.41
Miguel Almirón,"MF,FW",Newcastle Utd,36,35,3021,33.6,0.12,0.06,0.18,0.12,0,0,0.15,0,0.2,0.2,0.09,0.29,3.57,2.29,4.76
Marcos Alonso,DF,Chelsea,18,15,1430,15.9,0.25,0.13,0.38,0.25,0,0,0.25,0,0.16,0.16,0.16,0.33,3.9,4.34,9.75
Steven Alzate,"MF,DF",Brighton,19,12,1188,13.2,0,0,0,0,0,0,0.08,0,0.09,0.09,0.05,0.15,2.58,5,6.97
Ibrahim Amadou,"DF,MF",Norwich City,11,8,759,8.4,0,0,0,0,0,0,0.12,0,0.1,0.1,0,0.1,0.48,1.55,0.12
Felipe Anderson,"MF,FW",West Ham,25,20,1497,16.6,0.06,0.24,0.3,0.06,0,0,0.06,0,0.15,0.15,0.19,0.34,6.39,6.02,7.95
Florin Andone,FW,Brighton,3,1,73,0.8,1.25,0,1.25,1.25,0,0,0,1.25,0.5,0.5,0.13,0.5,2.5,0,5
Angeliño,DF,Manchester City,6,4,423,4.7,0,0,0,0,0,0,0.21,0,0.04,0.04,0.32,0.36,4.47,8.72,14.9
Faustino Anjorin,FW,Chelsea,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
Michail Antonio,FW,West Ham,24,19,1768,19.6,0.51,0.15,0.66,0.46,0.05,0.05,0.15,0,0.66,0.62,0.19,0.81,2.7,1.99,9.08
Stuart Armstrong,MF,Southampton,30,19,1715,19.1,0.26,0.16,0.42,0.26,0,0,0.21,0,0.15,0.15,0.1,0.25,2.36,3.72,5.29
Kepa Arrizabalaga,GK,Chelsea,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Atsu,"MF,FW",Newcastle Utd,19,6,749,8.3,0,0.36,0.36,0,0,0,0.24,0,0.02,0.02,0.16,0.18,3.49,1.93,2.65
Pierre-Emerick Aubameyang,FW,Arsenal,36,35,3136,34.8,0.63,0.09,0.72,0.57,0.06,0.06,0.09,0.03,0.42,0.38,0.09,0.47,2.82,2.33,8.28
Serge Aurier,DF,Tottenham,33,31,2700,30,0.03,0.17,0.2,0.03,0,0,0.13,0.03,0.02,0.02,0.11,0.13,2.2,3.1,6.83
Jordan Ayew,FW,Crystal Palace,37,37,3148,35,0.26,0.06,0.31,0.26,0,0,0.17,0,0.21,0.21,0.07,0.29,2.2,1.71,5.26
César Azpilicueta,DF,Chelsea,36,36,3229,35.9,0.06,0.17,0.22,0.06,0,0,0.03,0,0.07,0.07,0.17,0.24,1.64,5.38,6.3
Eric Bailly,DF,Manchester Utd,4,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.59,2.35,0.59
Leighton Baines,DF,Everton,8,4,404,4.5,0,0,0,0,0,0,0,0,0.02,0.02,0.18,0.2,2.67,2.22,4
Fabián Balbuena,DF,West Ham,17,13,1177,13.1,0.08,0,0.08,0.08,0,0,0.15,0,0.11,0.11,0.04,0.15,0.61,2.67,0.15
George Baldock,DF,Sheffield Utd,38,38,3420,38,0.05,0.08,0.13,0.05,0,0,0.18,0,0.02,0.02,0.04,0.06,2.55,2.71,5.18
